Date,Close,High,Low,Open,Volume
,KO,KO,KO,KO,KO
2000-01-03,13.815726280212402,14.213962292724068,13.540024425396634,14.213962292724068,10997000
2000-01-04,13.831048011779785,13.922948663020847,13.631929934090818,13.815731236572942,7308000
2000-01-05,13.953580856323242,14.076115046060439,13.739146024283148,13.831046666586046,9457400
2000-01-06,13.968896865844727,14.137381367516099,13.861679455690217,13.95358009296551,7129200
2000-01-07,14.887897491455078,14.887897491455078,14.18332621099527,14.18332621099527,11474000
2000-01-10,14.41308879852295,14.933859275834086,14.397772019778504,14.88790893960075,8723800
2000-01-11,14.903214454650879,15.010431824828224,14.734730015800766,14.734730015800766,9398000
2000-01-12,15.07170295715332,15.14828681364292,14.811317845088679,14.9032184728762,8389800
2000-01-13,14.84194564819336,15.056380363440736,14.811312117443734,15.056380363440736,6106000
2000-01-14,14.964491844177246,15.178926732425436,14.872591177785164,14.872591177785164,7513200
2000-01-18,15.929449081420898,15.929449081420898,14.9644920697579,14.9644920697579,18350800
2000-01-19,15.990711212158203,15.990711212158203,15.699692521515477,15.929444119391313,12813400
2000-01-20,16.143877029418945,16.159193800794107,15.960075772917023,15.990709315667342,11539800
2000-01-21,16.38894271850586,16.38894271850586,16.11324087838146,16.143874416173063,11385800
2000-01-24,15.898811340332031,16.3583145582607,15.577159087781961,16.3583145582607,11306000
2000-01-25,16.143877029418945,16.189827343544426,15.408672003411251,15.89880868741638,9718600
2000-01-26,15.454622268676758,16.051976350419466,15.378038412043077,16.051976350419466,23723800
2000-01-27,14.581567764282227,15.362723180225917,14.321182625634329,15.362723180225917,17550800
2000-01-28,13.953580856323242,14.596885352443524,13.953580856323242,14.581568578726374,10875200
2000-01-31,14.076114654541016,14.397766893654575,13.86167982846531,13.95358046821204,10734600
2000-02-01,14.244601249694824,14.30586835184405,13.800414759112943,14.076116718784457,8114600
2000-02-02,13.815726280212402,14.183328753300094,13.739142431652466,14.183328753300094,7164000
2000-02-03,13.540029525756836,13.907632137315845,13.49407919931196,13.815731484426092,9464400
2000-02-04,13.785091400146484,14.152693837483724,13.49407280392117,13.540023108588326,11501800
2000-02-07,13.938261032104492,14.122062276483891,13.616608854440543,13.785093328454991,7742800
2000-02-08,14.014854431152344,14.183339019942153,13.907636965558828,13.938270527156975,8261200
2000-02-09,13.968896865844727,14.152698140395314,13.907629774327862,14.014847184482374,7948600
2000-02-10,13.892308235168457,14.060792679034888,13.78509086179891,13.968892073289563,8031000
2000-02-11,13.616616249084473,13.70851692118178,13.44813168357274,13.70851692118178,7688600
2000-02-14,13.264331817626953,13.540033864644604,13.187747915677607,13.540033864644604,7134000
2000-02-15,13.647244453430176,13.662561226105181,13.04989031910495,13.264325136555032,7850800
2000-02-16,13.126479148864746,13.585982502967363,13.04989525651431,13.585982502967363,6869200
2000-02-17,12.820141792297363,13.12647731899503,12.544439818269463,13.12647731899503,11661000
2000-02-18,12.590384483337402,12.820136025004144,12.43721678889291,12.820136025004144,11443400
2000-02-22,12.682289123535156,12.896723963788167,12.375953637459428,12.590388477712438,10543000
2000-02-23,12.559755325317383,12.605705649678299,12.253419829577934,12.605705649678299,11021600
2000-02-24,12.207462310791016,12.375946734151997,11.839859932548878,12.375946734151997,15451600
2000-02-25,11.931769371032715,12.42190623864895,11.778601599902641,12.207471359066847,10905200
2000-02-28,12.08493423461914,12.176834875186586,11.656064578637727,11.931766500340064,10790800
2000-02-29,11.916447639465332,11.962397951699774,11.671379307548307,11.962397951699774,10346200
2000-03-01,12.49848461151123,12.590385233654695,12.05429827115115,12.05429827115115,15612200
2000-03-02,12.161517143249512,12.697604170974616,12.100250054366642,12.498486132105292,11358600
2000-03-03,12.284048080444336,12.345315153164757,12.023663021382548,12.161513935003494,9010600
2000-03-06,12.008356094360352,12.130890340221171,11.839871506301725,12.130890340221171,7866000
